Numero,Prompt,Longueur,Complexite,Theme
31,Est-ce que la lumière blanche contient toutes les couleurs du spectre ?,long,3,science
32,Est-ce que 1 kg de plumes pèse autant qu’1 kg de plomb ?,court,1,science
33,Est-ce que le corps humain est composé d’environ 60% d’eau ?,court,2,science
34,Est-ce que le code binaire n’utilise que les chiffres 0 et 1 ?,court,1,technologie
35,Est-ce que l’abeille meurt après avoir piqué ?,court,2,nature
36,Est-ce que les étoiles que nous voyons dans le ciel sont des soleils ?,court,2,science
37,Est-ce que le Mont Everest est la plus haute montagne du monde ?,court,1,nature
38,Est-ce que la Terre effectue une rotation en 24 heures ?,court,1,science
39,Est-ce que le Titanic a coulé lors de son voyage inaugural ?,court,2,histoire
40,Est-ce que le fluor est un métal ?,court,4,science
41,Est-ce que la Muraille de Chine a été construite au XXe siècle ?,long,3,histoire
42,Qui a écrit “Les Misérables” ?,court,2,art
43,Qui a peint “Guernica” ?,court,3,art
44,Qui a inventé l’imprimerie ?,court,2,histoire
45,Qui a découvert la pénicilline ?,court,3,science
46,Qui a composé la “Symphonie du Nouveau Monde” ?,long,4,art
47,Qui a été la première femme à aller dans l’espace ?,long,3,histoire
48,Qui a composé l’opéra “La Flûte enchantée” ?,long,2,art
49,Qui a construit la Tour Eiffel ?,long,2,histoire
50,Qui a découvert l’Amérique en 1492 ?,long,1,histoire
51,Qui est l’auteur de la série Harry Potter ?,long,1,art
52,Qui a peint “La Nuit étoilée” ?,long,2,art
53,Quel est le symbole chimique du sodium ?,moyen,3,science
54,Quel est le plus grand océan sur Terre ?,moyen,2,nature
55,Quelle est la langue la plus parlée au monde ?,moyen,2,société
56,Quelle est la capitale de l’Australie ?,moyen,3,société
57,Quelle planète est la plus proche du Soleil ?,moyen,2,science
58,Quel élément chimique a pour symbole Au ?,moyen,3,science
59,Quelle est l’année de la chute de Constantinople ?,long,4,histoire
60,Quel est l’élément le plus abondant dans l’univers ?,long,3,science
61,Quelle est la distance moyenne entre la Terre et la Lune ?,très long,4,science
62,Quelle ville est surnommée “la Ville Lumière” ?,moyen,1,société
63,Quelle est la formule chimique de l’eau ?,court,1,science
64,Quelle est la monnaie du Japon ?,court,2,société
65,Quelle est la vitesse de la lumière dans le vide (en m/s) ?,long,4,science
66,Quel est le bâtiment le plus haut du monde ?,long,3,société
67,Quelle est la substance naturelle la plus dure sur Terre ?,moyen,2,science
68,Quel est l’ingrédient principal du guacamole ?,long,1,gastronomie
69,Quelle est la capitale du Canada ?,moyen,2,société
70,Quel est le plus grand désert du monde ?,moyen,2,nature
71,Combien y a-t-il de jours en février lors d’une année bissextile ?,long,1,société
72,Combien de joueurs compte une équipe de football sur le terrain ?,long,1,sport
73,Combien de pattes une araignée possède-t-elle ?,long,1,nature
74,Combien d’États y a-t-il aux États-Unis ?,long,2,société
75,Combien de planètes compte le système solaire ?,long,2,science
76,Combien d’os le corps humain possède-t-il ?,long,3,science
77,Combien de symphonies Beethoven a-t-il composées ?,long,3,art
78,Combien de continents y a-t-il sur Terre ?,long,2,nature
79,Combien d’années dure une décennie ?,moyen,1,société
80,Combien font 2 + 2 ?,moyen,1,science
81,Combien de couleurs y a-t-il dans un arc-en-ciel ?,long,1,nature
82,Combien d’heures compte une journée ?,moyen,1,science
83,Combien de zéros y a-t-il dans un milliard ?,long,3,science
84,Combien de lettres compte l’alphabet français ?,long,1,société
85,Combien de joueurs composent une équipe de baseball (sur le terrain) ?,très long,4,sport
86,Combien de symphonies Mozart a-t-il composées ?,très long,5,art
87,Quand l’homme a-t-il marché sur la Lune pour la première fois ?,long,2,histoire
88,Quand a eu lieu la prise de la Bastille ?,long,2,histoire
89,En quelle année Christophe Colomb a-t-il découvert l’Amérique ?,long,2,histoire
90,En quelle année Napoléon a-t-il perdu la bataille de Waterloo ?,long,3,histoire
91,En quelle année les Jeux Olympiques modernes ont-ils commencé ?,très long,3,sport
92,Quand la Seconde Guerre mondiale a-t-elle commencé ?,moyen,2,histoire
93,En quelle année l’URSS s’est-elle effondrée ?,moyen,3,histoire
94,En quelle année l’URSS a-t-elle lancé Spoutnik 1 ?,très long,4,histoire
95,Quand la Première Guerre mondiale s’est-elle terminée ?,long,2,histoire
96,En quelle année Neil Armstrong a-t-il marché sur la Lune ?,long,2,histoire
97,Quand le mur de Berlin est-il tombé ?,long,2,histoire
98,En quelle année l’euro a-t-il été mis en circulation ?,long,2,société
99,En quelle année la Déclaration d’indépendance des États-Unis a-t-elle été signée ?,très long,2,histoire
100,En quelle année la Première Guerre mondiale a-t-elle commencé ?,long,2,histoire
101,Doit-on toujours dire la vérité ?,court,2,philosophie
102,Doit-on craindre l’intelligence artificielle ?,moyen,3,futurisme
103,Faut-il manger 5 fruits et légumes par jour ?,moyen,1,société
104,Faut-il censurer Internet ?,court,3,société
105,Doit-on légaliser le cannabis ?,court,2,société
106,Peut-on être moral sans religion ?,court,4,philosophie
107,Peut-on voyager plus vite que la lumière ?,long,4,futurisme
108,Peut-on arrêter le vieillissement ?,long,4,futurisme
109,Faut-il toujours obéir aux lois ?,long,4,philosophie
110,Doit-on cloner l’être humain ?,moyen,5,philosophie
111,Faut-il instaurer un revenu universel ?,long,4,société
112,Faut-il interdire les zoos ?,court,3,société
113,Doit-on privilégier le train à l’avion pour les courts trajets ?,très long,3,société
114,Faut-il accorder le droit de vote à 16 ans ?,long,3,société
115,Doit-on apprendre à coder dès l’école primaire ?,long,2,technologie
116,Y a-t-il de la vie sur Mars ?,moyen,3,futurisme
117,Y a-t-il un lien entre alimentation et santé mentale ?,long,4,psychologie
118,Y a-t-il une vie après la mort ?,moyen,5,philosophie
119,Y a-t-il plus de 8 milliards d’humains sur Terre ?,long,1,société
120,Y a-t-il des nombres premiers pairs autres que 2 ?,moyen,2,science
121,Y a-t-il un nombre infini de nombres premiers ?,long,4,science
122,Y a-t-il des limites à l’univers ?,long,5,philosophie
123,Y a-t-il une huitième couleur dans l’arc-en-ciel ?,long,1,nature
124,Vrai ou Faux : Le feu a besoin d’oxygène pour brûler.,moyen,1,science
125,Vrai ou Faux : Les chauves-souris sont aveugles.,moyen,2,nature
126,Vrai ou Faux : La muraille de Chine est visible depuis la Lune.,long,2,histoire
127,Vrai ou Faux : Un octet vaut 8 bits.,moyen,2,technologie
128,Vrai ou Faux : La vache est un mammifère.,court,1,nature
129,Vrai ou Faux : La capitale de l’Espagne est Barcelone.,long,1,société
130,Vrai ou Faux : 0 est un nombre pair.,court,3,science
131,Vrai ou Faux : Le sang humain est bleu à l’intérieur du corps.,long,2,science
132,Vrai ou Faux : Les éclairs ne frappent jamais deux fois au même endroit.,très long,2,nature
133,Vrai ou Faux : Un homme a une côte de moins qu’une femme.,long,2,société
134,Vrai ou Faux : Les diamants se forment à partir de charbon.,long,3,science
135,2 + 2 = ?,très court,1,science
136,5 – 3 = ?,très court,1,science
137,3 × 3 = ?,très court,1,science
138,9 − 6 = ?,très court,1,science
139,10 / 2 = ?,très court,1,science
140,8 × 0 = ?,très court,1,science
141,12 × 12 = ?,court,2,science
142,10^2 = ?,court,2,science
143,15 / 3 = ?,court,1,science
144,7 + 8 = ?,court,1,science
145,20 - 17 = ?,court,1,science
146,√16 = ?,très court,1,science
147,7 × 7 = ?,très court,1,science
148,11 + 22 = ?,très court,1,science
149,10 / 4 = ?,très court,2,science
150,5^3 = ?,très court,2,science
151,20 % de 50 = ?,court,2,science
152,"Mercure, Vénus, Terre, …, Jupiter, Saturne, Uranus, Neptune.",moyen,3,science
153,"rouge, orange, jaune, …, bleu, indigo, violet.",moyen,3,nature
154,"la vue, l’ouïe, …, …, le toucher.",moyen,2,psychologie
155,"printemps, été, automne, …",court,1,nature
156,"Athos, Porthos, …",court,4,art
157,"dorique, ionique, …",court,5,art
158,"Louis XIII, …, Louis XV, Louis XVI.",court,3,histoire
159,"bleu, …, rouge (couleurs du drapeau français).",court,1,société
160,"do, ré, mi, fa, sol, la, …",long,2,art
161,"Lundi, mardi, mercredi, …, vendredi, samedi, dimanche.",long,1,société
162,"I, II, III, …, V",court,1,histoire
163,"Citez trois planètes du système solaire : 1) …, 2) …, 3) …",moyen,2,science
164,"Citez trois inventions du XXème siècle : 1) …, 2) …, 3) …",long,3,histoire
165,"Nommez trois peintres célèbres : 1) …, 2) …, 3) …",moyen,2,art
166,"Donnez trois exemples de valeurs philosophiques : 1) …, 2) …, 3) …",long,3,philosophie
167,"Indiquez trois langues officielles de l’ONU : 1) …, 2) …, 3) …",long,4,société
168,"Listez trois émotions humaines de base : 1) …, 2) …, 3) …",long,2,psychologie
169,"Citez trois épreuves d’un décathlon : 1) …, 2) …, 3) …",long,4,sport
170,"Donnez trois fromages français : 1) …, 2) …, 3) …",long,3,gastronomie
171,"Listez trois animaux menacés d’extinction : 1) …, 2) …, 3) …",long,3,nature
172,"Citez trois technologies de communication : 1) …, 2) …, 3) …",long,2,technologie
173,"Donnez trois améliorations que vous imaginez pour les voitures du futur : 1) …, 2) …, 3) …",très long,5,futurisme
174,"Citez trois problèmes sociaux actuels : 1) …, 2) …, 3) …",long,4,société
175,"Citez trois scientifiques célèbres : 1) …, 2) …, 3) …",long,2,science
176,"Citez trois empereurs romains : 1) …, 2) …, 3) …",long,4,histoire
177,"Citez trois instruments de musique classique : 1) …, 2) …, 3) …",long,2,art
178,"Citez trois philosophes des Lumières : 1) …, 2) …, 3) …",long,4,philosophie
179,"Citez trois langages de programmation : 1) …, 2) …, 3) …",long,2,technologie
180,"Citez trois troubles psychologiques courants : 1) …, 2) …, 3) …",long,3,psychologie
181,"Citez trois sports olympiques : 1) …, 2) …, 3) …",long,1,sport
182,"Citez trois épices de cuisine : 1) …, 2) …, 3) …",long,1,gastronomie
183,"Citez trois phénomènes météorologiques : 1) …, 2) …, 3) …",long,2,nature
184,"Citez trois planètes que l’humanité pourrait coloniser dans le futur : 1) …, 2) …, 3) …",très long,5,futurisme
185,"Citez trois droits de l’Homme fondamentaux : 1) …, 2) …, 3) …",long,3,société
186,"2, 4, 6, …, 10 (complétez)",moyen,1,science
187,"1, 1, 2, 3, 5, …, 13 (complétez)",long,4,science
188,"1, 4, 9, …, 25 (complétez)",long,3,science
189,"5, 10, 15, …, 25 (complétez)",long,2,science
190,"100, 90, 80, …, 60 (complétez)",long,2,science
191,"A, B, C, …, E (complétez)",long,1,société
192,"Janvier, février, mars, …, mai (complétez)",long,1,société
193,"II, III, IV, …, VI (complétez)",long,1,histoire
194,"Donnez deux exemples d’énergies renouvelables : 1) …, 2) …",long,1,science
195,"Citez deux philosophes grecs anciens : 1) …, 2) …",long,3,philosophie
196,"Citez quatre pays d’Europe : 1) …, 2) …, 3) …, 4) …",très long,2,société
197,"Citez quatre langues romanes : 1) …, 2) …, 3) …, 4) …",très long,2,société
198,"Citez trois capitales européennes : 1) Paris, 2) Berlin, 3) …",long,2,société
199,"Citez trois océans du globe : 1) Pacifique, 2) Atlantique, 3) …",long,2,nature
200,"Citez trois figures de la Révolution française : 1) Robespierre, 2) Danton, 3) …",très long,4,histoire
201,"Citez trois couleurs primaires : 1) …, 2) …, 3) …",long,1,art
202,"Citez trois moyens de transport : 1) …, 2) …, 3) …",long,1,société
203,"Citez trois mers ou océans : 1) …, 2) …, 3) …",long,2,nature
204,"Citez trois langues officielles de la Suisse : 1) Allemand, 2) Français, 3) …",long,3,société
205,"Citez cinq pays d’Afrique : 1) …, 2) …, 3) …, 4) …, 5) …",long,3,société
206,"Donnez cinq bonnes habitudes pour rester en bonne santé : 1) …, 2) …, 3) …, 4) …, 5) …",très long,2,psychologie
207,"Citez cinq œuvres de William Shakespeare : 1) …, 2) …, 3) …, 4) …, 5) …",très long,4,art
208,"Listez cinq planètes ou corps célestes pouvant potentiellement abriter la vie : 1) …, 2) …, 3) …, 4) …, 5) …",très long,5,futurisme
209,"Donnez cinq synonymes du mot ‘beau’ : 1) …, 2) …, 3) …, 4) …, 5) …",très long,2,art
210,"Citez trois éléments chimiques : 1) …, 2) …, 3) …",long,2,science
211,"Citez trois civilisations anciennes : 1) …, 2) …, 3) …",long,3,histoire
212,"Citez trois chefs-d’œuvre de la peinture : 1) …, 2) …, 3) …",long,4,art
213,"Citez trois questions existentielles que l’on peut se poser : 1) …, 2) …, 3) …",très long,5,philosophie
214,"Citez trois réseaux sociaux en ligne : 1) …, 2) …, 3) …",long,1,technologie
215,"Citez trois besoins humains fondamentaux : 1) …, 2) …, 3) …",long,2,psychologie
216,"Citez trois légendes du sport : 1) …, 2) …, 3) …",long,3,sport
217,"Citez trois spécialités culinaires japonaises : 1) …, 2) …, 3) …",long,2,gastronomie
218,"Citez trois catastrophes naturelles : 1) …, 2) …, 3) …",long,2,nature
219,"Citez trois inventions futuristes imaginaires : 1) …, 2) …, 3) …",très long,5,futurisme
220,"Citez trois organisations internationales : 1) …, 2) …, 3) …",long,3,société
221,"Animaux de compagnie communs : 1) Chien, 2) Chat, 3) …",long,1,nature
222,"Instruments à cordes : 1) Violon, 2) Guitare, 3) …",long,2,art
223,"Moyens de transport aériens : 1) Avion, 2) Hélicoptère, 3) …",long,2,technologie
224,"Pays d’Amérique du Nord : 1) Canada, 2) États-Unis, 3) …",long,2,société
225,"Figures mythologiques grecques : 1) Zeus, 2) Héra, 3) …",long,4,art
226,"Régimes politiques : 1) Démocratie, 2) Monarchie, 3) …",long,2,société
227,"Genres littéraires : 1) Roman, 2) Poésie, 3) …",long,2,art
228,"Outils de jardinage : 1) Pelle, 2) Râteau, 3) …",long,2,nature
229,Combien de mois de l’année comportent 28 jours ?,moyen,2,société
230,"Le père de Jean a quatre fils : Paul, Pierre, Jacques et … ? Quel est le nom du quatrième fils ?",très long,3,société
231,Qu’est-ce qui se brise dès qu’on le nomme ?,court,4,philosophie
232,"Qu’est-ce qui tombe sans jamais se casser, et qu’est-ce qui se casse sans jamais tomber ?",long,5,nature
233,"Si 3 chats attrapent 3 souris en 3 minutes, combien de chats faut-il pour attraper 100 souris en 100 minutes ?",très long,3,science
234,"Dans un lac, des nénuphars doublent de surface chaque jour et recouvrent tout le lac en 20 jours. En combien de jours en recouvrent-ils la moitié ?",très long,4,science
235,Un éléphant pèse 5 000 kg et tient sur une patte. Quel est le poids supporté par cette patte ?,très long,2,nature
236,"Quel nombre manque à la suite : 1, 1, 2, 3, 5, 8, … ?",long,3,science
237,"Si on double un nombre et qu’on ajoute 4, on obtient 10. Quel est ce nombre ?",long,2,science
238,"En écrivant tous les nombres de 1 à 99, combien de fois écrit-on le chiffre 9 ?",très long,5,science
239,"Un berger doit faire traverser une rivière à un loup, une chèvre et un chou. Il ne peut transporter qu’un passager à la fois et ne peut laisser le loup seul avec la chèvre ni la chèvre seule avec le chou. Comment doit-il s’y prendre ?",très long,5,nature
240,"Dans une course, si vous doublez le deuxième, en quelle position arrivez-vous ?",long,2,sport
241,Un œuf cuit en 5 minutes. Combien de temps pour cuire 5 œufs ?,court,1,gastronomie
242,"Qu’est-ce qui a quatre pattes le matin, deux pattes à midi, et trois pattes le soir ?",long,4,philosophie
243,"Quel nombre manque dans la suite : 5, 6, 7, __, 9 ?",court,1,science
244,"Quel nombre manque dans la suite : 1, 2, 3, __, 5 ?",court,1,science
245,"Quel nombre manque dans la suite : 3, 8, 13, __, 23 ?",moyen,2,science
246,"Quel nombre manque dans la suite : 5, 10, 15, __, 25 ?",court,1,science
247,"Quel nombre manque dans la suite : 7, 11, 15, __, 23 ?",court,2,science
248,"Quel nombre manque dans la suite : 4, 8, 12, __, 20 ?",court,1,science
249,"Quel nombre manque dans la suite : 9, 7, 5, __, 1 ?",court,2,science
250,"Quel nombre manque dans la suite : 2, 5, 8, __, 14 ?",court,1,science
251,"Quel nombre manque dans la suite : 6, 12, 18, __, 30 ?",court,1,science
252,"Quel nombre manque dans la suite : 10, 7, 4, __, -2 ?",court,2,science
253,"Parmi ces animaux, quel est l’intrus : chat, chien, lapin, serpent ?",long,1,nature
254,"Quel est l’intrus : bleu, carré, vert, rouge ?",long,1,art
255,"Parmi ces mots, quel est l’intrus : lundi, mars, mercredi, jeudi ?",long,1,société
256,"Quel nombre manque dans la suite : 1, 4, 7, …, 13 ?",moyen,2,science
257,"Quel nombre manque dans la suite : 10, 12, 14, …, 18 ?",moyen,2,science
258,"Quel nombre manque dans la suite : 8, 12, 16, …, 24 ?",moyen,2,science
259,"Quel nombre manque dans la suite : 5, 6, …, 8, 9 ?",moyen,1,science
260,"Quel nombre manque dans la suite : 6, 9, 12, …, 18 ?",moyen,1,science
261,"Complétez le dialogue suivant : A : Bonjour, comment vas-tu ? B : …",moyen,1,société
262,Imaginez la suite de ce dialogue : Enseignant : Avez-vous compris le sujet ? Élève : …,long,2,société
263,Complétez le dialogue : Robot : Quelle est ma mission ? Ingénieur : …,moyen,3,technologie
264,Écrivez un dialogue entre un philosophe antique et un scientifique moderne sur la nature de l’univers.,long,5,philosophie
265,Imaginez un dialogue dans lequel un touriste échange avec un habitant local sur les coutumes de la région.,long,3,société
266,Complétez le dialogue : Mère : Tu rentres tard ce soir. Fils : …,moyen,2,société
267,Imaginez la suite du dialogue : Client : Ce plat est délicieux ! Serveur : …,moyen,2,gastronomie
268,Complétez : Policier : Vous rouliez à 80 dans une zone à 50. Automobiliste : …,long,3,société
269,Poursuivez ce dialogue imaginaire entre un chat et un chien qui discutent de la météo.,long,3,nature
270,Écrivez la fin de ce dialogue : Docteur : Je vous annonce une excellente nouvelle. Patient : …,long,2,société
271,Imaginez que vous vous réveillez en l’an 2100. Décrivez à quoi ressemble la journée type dans ce futur.,long,4,futurisme
272,Vous êtes un explorateur au fond de l’océan et vous trouvez une créature inconnue. Racontez votre découverte.,long,4,nature
273,"Décrivez un monde où les rôles sociaux sont inversés (par exemple, les enfants font la loi et les adultes vont à l’école).",long,3,société
274,Imaginez une journée dans la peau de Léonard de Vinci travaillant sur une invention.,long,3,histoire
275,Vous êtes un personnage de jeu vidéo entré dans la vraie vie. Décrivez votre expérience.,long,3,technologie
276,Décrivez un repas fantastique où chaque plat apporte un pouvoir magique différent à celui qui le mange.,long,4,gastronomie
277,Racontez l’histoire d’un athlète qui participe à des Jeux Olympiques intergalactiques.,long,4,sport
278,Imaginez que vous pouvez communiquer avec les arbres de la forêt. Décrivez la conversation.,long,4,nature
279,Vous découvrez un passage secret dans un monument historique célèbre. Racontez ce que vous y trouvez.,long,3,histoire
280,Le Louvre prend vie la nuit : les peintures discutent entre elles. Écrivez cette scène.,long,5,art
281,Un étudiant reçoit une lettre écrite par lui-même dans le futur. Racontez le contenu de la lettre.,long,4,futurisme
282,Décrivez le fonctionnement d’une horloge mécanique de manière simple.,long,2,science
283,Décrivez un paysage de montagne un matin d’hiver.,long,2,nature
284,Faites la description d’un tableau imaginaire sur le thème de l’espoir.,long,3,art
285,Décrivez votre plat préféré en détail comme si vous l’expliquiez à quelqu’un qui ne l’a jamais goûté.,très long,2,gastronomie
286,Dépeignez le portrait d’un héros de roman imaginaire.,long,3,art
287,Décrivez la sensation de voler en quelques phrases évocatrices.,long,3,psychologie
288,Décrivez la ville de Paris au Moyen Âge comme si vous y étiez.,long,4,histoire
289,Rédigez un poème sur l’automne et la mélancolie.,moyen,3,art
290,Écrivez une chanson humoristique à propos des mathématiques.,long,4,art
291,Composez un court texte où chaque mot commence par la même lettre.,long,5,art
292,Inventez une nouvelle fable avec des animaux qui enseigne une leçon de vie.,long,3,philosophie
293,Imaginez un super-héros dont le pouvoir est complètement inutile. Décrivez-le.,long,2,société
294,Vous êtes invité à un concours de récits ultra-courts. Écrivez une histoire en une phrase.,long,4,art
295,Rédigez un haïku (poème japonais de 3 vers) sur le thème de la ville.,long,3,art
296,Inventez une nouvelle énigme avec sa réponse.,court,5,logique
297,Que pensez-vous de la pluie ?,court,1,science
298,Comment fonctionne un aimant ?,court,1,science
299,Que pensez-vous de la gravité ?,court,1,science
300,Que pensez-vous de la Lune ?,court,1,science
301,Comment fonctionne l’eau ?,court,1,science
302,Quel est le rôle du Soleil ?,moyen,1,science
303,Que pensez-vous du corps humain ?,moyen,1,science
304,Quel est le rôle d’une plante ?,moyen,1,science
305,Comment fonctionne une ampoule ?,moyen,1,science
306,Que pensez-vous d’un volcan ?,moyen,1,science
307,Comment fonctionne un arc-en-ciel ?,moyen,1,science
308,Quelle est l’importance des étoiles ?,moyen,1,science
309,Quel est le rôle de la neige ?,moyen,1,science
310,Quelle est l’importance de la chaleur ?,moyen,1,science
311,Que pensez-vous du son ?,court,1,science
312,Comment fonctionne la mécanique quantique ?,long,5,science
313,Quel est le rôle de l’ADN ?,court,5,science
314,Que pensez-vous de la théorie de l’évolution ?,long,5,science
315,Quelle est l’importance de la relativité générale ?,très long,5,science
316,Quelles sont les conséquences de la fusion nucléaire ?,très long,5,science
317,Que pensez-vous du changement climatique ?,long,5,science
318,Quelle est l’importance de la théorie des cordes ?,long,5,science
319,Quel est le rôle de la nanotechnologie ?,long,5,science
320,Quelle est l’importance de la matière noire ?,long,5,science
321,Que pensez-vous de la Révolution française ?,long,1,histoire
322,Que pensez-vous de Napoléon Bonaparte ?,long,1,histoire
323,Quel est le rôle de la Seconde Guerre mondiale ?,long,1,histoire
324,Quelle est l’importance de l’Empire romain ?,long,1,histoire
325,Que pensez-vous des pyramides d’Égypte ?,long,1,histoire
326,Quel est le rôle de la Renaissance ?,long,1,histoire
327,Que pensez-vous de la chute du mur de Berlin ?,long,1,histoire
328,Quelle est l’importance de la découverte de l’Amérique ?,long,1,histoire
329,Quel est le rôle du Moyen Âge ?,long,1,histoire
330,Quelle est l’importance de la révolution industrielle ?,très long,1,histoire
331,Que pensez-vous de Marie Curie ?,long,1,histoire
332,Que pensez-vous de Louis XIV ?,long,1,histoire
333,Quelle est l’importance de la guerre froide ?,long,1,histoire
334,Quelle est l’importance du droit de vote des femmes ?,très long,1,histoire
335,Quelles sont les causes de la Première Guerre mondiale ?,long,5,histoire
336,Quelles sont les causes de l’impact de la colonisation ?,long,5,histoire
337,Quelles sont les causes de la chute de l’Empire romain ?,très long,5,histoire
338,Quelles sont les causes de la guerre de Cent Ans ?,long,5,histoire
339,Quelles sont les causes des philosophes des Lumières ?,long,5,histoire
340,Quelle est l’importance de la réforme protestante ?,long,5,histoire
341,Quelles sont les causes de la décolonisation ?,long,5,histoire
342,Quelles sont les causes des traités de Westphalie ?,très long,5,histoire
343,Quelle est l’importance de la route de la soie ?,long,5,histoire
344,Quel est le rôle de l’empire ottoman ?,court,5,histoire
345,Quelle est l’importance de la guerre du Vietnam ?,long,5,histoire
346,Que pensez-vous de la Joconde ?,court,1,art
347,Que pensez-vous de Vincent van Gogh ?,long,1,art
348,Quelle est l’importance de la musique classique ?,long,1,art
349,Que pensez-vous de la Tour Eiffel ?,long,1,art
350,Quelle est l’importance du Louvre ?,long,1,art
351,Quel est le rôle de la peinture à l’huile ?,long,1,art
352,Quel est le rôle de la sculpture sur marbre ?,long,1,art
353,Que pensez-vous du ballet ?,court,1,art
354,Que pensez-vous du cinéma muet ?,long,1,art
355,Que pensez-vous du théâtre classique ?,long,1,art
356,Que pensez-vous de Pablo Picasso ?,long,1,art
357,Quelle est l’importance du surréalisme ?,moyen,1,art
358,Comment fonctionne le surréalisme ?,court,5,art
359,Quel est le rôle du cubisme ?,court,5,art
360,Quelle est l’importance de l’art abstrait ?,court,5,art
361,Quelle est l’importance de la perspective en peinture ?,très long,5,art
362,Quelle est l’importance de la critique d’art ?,long,5,art
363,Quelle est l’importance de l’architecture gothique ?,long,5,art
364,Quel est le rôle de la musique baroque ?,moyen,5,art
365,Quelle est l’importance de la symphonie de Beethoven ?,long,5,art
366,Quelle est l’importance de la littérature postmoderne ?,long,5,art
367,Quelle est l’importance de l’impressionnisme ?,long,5,art
368,Quel est le rôle du design graphique ?,long,5,art
369,Que pensez-vous de la justice ?,court,1,philosophie
370,Que pensez-vous de la liberté ?,court,1,philosophie
371,Que pensez-vous du bonheur ?,court,1,philosophie
372,Quel est le rôle de la morale ?,court,1,philosophie
373,Que pensez-vous de Socrate ?,court,1,philosophie
374,Que pensez-vous de Platon ?,court,1,philosophie
375,Quel est le rôle du doute ?,court,1,philosophie
376,Quelle est l’importance de l’amitié ?,long,1,philosophie
377,Que pensez-vous du courage ?,court,1,philosophie
378,Quelle est l’importance de la vérité ?,long,1,philosophie
379,Quel est le rôle du temps ?,court,1,philosophie
380,Que pensez-vous de la sagesse ?,court,1,philosophie
381,Que pensez-vous de la mort ?,court,1,philosophie
382,Quel est le rôle de la religion ?,court,1,philosophie
383,Quelle est l’importance de l’existentialisme ?,long,5,philosophie
384,Quelle est l’importance du nihilisme ?,long,5,philosophie
385,Quel est le rôle du dualisme cartésien ?,long,5,philosophie
386,Quelle est l’importance de la métaphysique ?,long,5,philosophie
387,Quelle est l’importance de la théorie de la connaissance ?,très long,5,philosophie
388,Quel est le rôle de l’éthique utilitariste ?,court,5,philosophie
389,Quelle est l’importance de la liberté de la volonté ?,long,5,philosophie
390,Quelle est l’importance de l’absurde chez Camus ?,long,5,philosophie
391,Quelle est l’importance du concept d’inconscient chez Freud ?,moyen,5,philosophie
392,Quel est le rôle du matérialisme dialectique ?,long,5,philosophie
393,Quelle est l’importance de l’éthique de Kant ?,long,5,philosophie
394,Que pensez-vous du smartphone ?,court,1,technologie
395,Que pensez-vous d’Internet ?,court,1,technologie
396,Comment fonctionne l’électricité ?,long,1,technologie
397,Que pensez-vous d’un ordinateur ?,long,1,technologie
398,Quel est le rôle de la voiture électrique ?,long,1,technologie
399,Que pensez-vous de la télévision ?,long,1,technologie
400,Quel est le rôle du GPS ?,court,1,technologie
401,Quelle est l’importance de l’énergie solaire ?,long,1,technologie
402,Que pensez-vous d’une caméra ?,court,1,technologie
403,Comment fonctionne la robotique ?,long,1,technologie
